Sample in Buffer,Sample in Window,TRIGGER,wiener_normal_out_reg[32:0],pzc_out_reg[28:0],event_bt_reg[12:0],adc_out_reg[11:0],occupancy_reg[6:0],pedestal_in_reg[12:0],wiener_pzc_out_reg[32:0],pedestal_out_reg[12:0],bt_mask_out_reg
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED,HEX
0,0,0,0,-877,0,318,121,500,5030867,479,0
1,1,0,0,-1948,0,316,121,500,-4596164,479,0
2,2,0,0,1529,0,324,121,500,1399098,479,0
3,3,0,0,-901,0,319,121,500,106294,479,0
4,4,0,0,-3336,0,314,121,500,-297438,479,0
5,5,0,0,-2591,55,316,121,500,-987223,479,1
6,6,0,0,5436,245,334,121,500,917372,479,1
7,7,0,0,10296,27,345,121,500,-285468,479,1
8,8,0,0,44742,35,421,121,500,-1160962,479,1
9,9,0,0,112024,144,569,121,500,-943985,479,1
10,10,0,0,29759,35,388,121,500,3029618,479,1
11,11,0,0,25118,238,378,121,500,1116187,479,1
12,12,0,0,71427,210,480,121,500,11848564,479,1
13,13,0,0,47768,79,428,121,500,47851681,479,1
14,14,0,0,127797,1,604,121,500,3994126,479,1
15,15,0,0,121552,39,590,121,500,7558447,479,1
16,16,0,0,55688,42,445,121,500,29822555,479,1
17,17,0,0,5149,125,334,121,500,7537941,479,1
18,18,0,0,20929,362,369,121,500,48559433,479,1
19,19,0,0,36744,190,404,121,500,43533708,479,1
20,20,0,0,85354,90,511,121,500,18842640,479,1
21,21,0,0,187761,779,736,121,500,-352697,479,1
22,22,0,0,116128,38,578,121,500,9733190,479,1
23,23,0,0,106672,275,557,121,500,10153503,479,1
24,24,0,0,360640,657,1115,121,500,24012780,479,1
25,25,0,0,95556,73,531,121,500,76935670,479,1
26,26,0,0,172958,332,701,121,500,33388840,479,1
27,27,0,0,324695,8,1034,121,500,18133043,479,1
28,28,0,0,113675,39,569,121,500,160138538,479,1
29,29,0,0,158810,32,668,121,500,4205028,479,1
30,30,0,0,31144,500,387,121,500,57996191,479,1
31,31,0,0,26957,30,378,121,500,132559945,479,1
32,32,0,0,49606,17,428,121,500,17659794,479,1
33,33,0,0,236560,146,839,121,500,71003559,479,1
34,34,0,0,58105,62,446,121,500,3955118,479,1
35,35,0,0,12117,95,345,121,500,10414040,479,1
36,36,0,0,72498,192,478,121,500,3344184,479,1
37,37,0,0,48837,317,426,121,500,104618020,479,1
38,38,0,0,58339,176,447,121,500,7869675,479,1
39,39,0,0,112907,110,567,121,500,1043356,479,1
40,40,0,0,172145,44,697,121,500,31929352,479,1
41,41,0,0,117308,0,576,121,500,14305270,479,0
42,42,0,0,62805,0,456,121,500,17373585,479,0
43,43,0,0,26837,0,377,121,500,36652610,479,0
44,44,0,0,5350,0,330,121,500,64229563,479,0
45,45,0,0,2471,0,324,121,500,38488288,479,0
46,46,0,0,951,0,321,121,500,21545004,479,0
47,47,0,0,8983,0,339,121,500,9604452,479,0
48,48,0,0,198,61,320,121,500,1567054,479,1
49,49,0,0,494,276,321,121,500,1255256,479,1
50,50,0,0,11256,481,345,121,500,-343399,479,1
51,51,0,0,44792,9,419,121,500,4329907,479,1
52,52,0,0,167127,494,688,121,500,-247919,479,1
53,53,0,0,235131,80,837,121,500,1205783,479,1
54,54,0,0,62134,235,456,121,500,4110156,479,1
55,55,0,0,224546,8,813,121,500,7693061,479,1
56,56,0,0,92930,386,523,121,500,59295085,479,1
57,57,0,0,109354,213,559,121,500,94130102,479,1
58,58,0,0,44824,559,417,121,500,-3571423,479,1
59,59,0,0,191272,66,739,121,500,99606063,479,1
60,60,0,0,169692,21,691,121,500,19440700,479,1
61,61,0,0,273644,57,919,121,500,47162198,479,1
62,62,0,0,76614,87,485,121,500,1605474,479,1
63,63,0,0,15650,622,351,121,500,76683678,479,1
64,64,0,0,39182,59,403,121,500,43554192,479,1
65,65,0,0,92796,58,521,121,500,113852314,479,1
66,66,0,0,293038,329,961,121,500,16376178,479,1
67,67,0,0,71935,88,474,121,500,6958110,479,1
68,68,0,0,49180,36,424,121,500,12376956,479,1
69,69,0,0,154685,709,656,121,500,18317400,479,1
70,70,0,0,66137,119,461,121,500,127684727,479,1
71,71,0,0,67029,98,463,121,500,7806380,479,1
72,72,0,0,337283,251,1057,121,500,12314959,479,1
73,73,0,0,118096,442,574,121,500,68893722,479,1
74,74,0,0,66321,79,460,121,500,15062837,479,1
75,75,0,0,146837,105,637,121,500,3659572,479,1
76,76,0,0,225710,364,810,121,500,147767585,479,1
77,77,0,0,77256,8,483,121,500,25530574,479,1
78,78,0,0,72255,155,472,121,500,18209844,479,1
79,79,0,0,176898,726,702,121,500,49504800,479,1
80,80,0,0,51541,364,426,121,500,91549697,479,1
81,81,0,0,124743,201,587,121,500,15392800,479,1
82,82,0,0,374191,180,1135,121,500,20068672,479,1
83,83,0,0,231522,286,820,121,500,79082781,479,1
84,84,0,0,125848,0,587,121,500,3339594,479,0
85,85,0,0,110941,0,554,121,500,30461701,479,0
86,86,0,0,146506,0,632,121,500,150643251,479,0
87,87,0,0,27449,0,370,121,500,71953159,479,0
88,88,0,0,495,0,311,121,500,39857604,479,0
89,89,0,0,-1948,0,306,121,500,35519088,479,0
90,90,0,0,2429,0,316,121,500,60609471,479,0
91,91,0,0,4996,0,322,121,500,2948138,479,0
92,92,0,0,744,0,313,121,500,1447506,479,0
93,93,0,0,9678,0,333,121,500,-519046,479,0
94,94,0,0,-1388,0,309,121,500,1032355,479,0
95,95,0,0,2082,0,317,121,500,2041750,479,0
96,96,0,0,-2630,0,307,121,500,-764875,479,0
97,97,0,0,-2347,0,308,121,500,4721648,479,0
98,98,0,0,4762,0,324,121,500,-1661056,479,0
99,99,0,0,4607,0,324,121,500,1584220,479,0
100,100,0,0,357,0,315,121,500,-1226113,479,0
101,101,0,0,-262,0,314,121,500,-1211040,479,0
102,102,0,0,-427,0,314,121,500,2031967,479,0
103,103,0,0,3958,0,324,121,500,1687732,479,0
104,104,0,0,5168,0,327,121,500,-57180,479,0
105,105,0,0,-4539,0,306,121,500,36484,479,0
106,106,0,0,-617,0,315,121,500,-529727,479,0
107,107,0,0,129,0,317,121,500,1492346,479,0
108,108,0,0,-5493,0,305,121,500,2459294,479,0
109,109,0,0,248,0,318,121,500,-2511087,479,0
110,110,0,0,3272,0,325,121,500,209049,479,0
111,111,0,0,4028,0,327,121,500,476478,479,0
112,112,0,0,-2949,0,312,121,500,-2608279,479,0
113,113,0,0,-3571,0,311,121,500,304939,479,0
114,114,0,0,-4649,0,309,121,500,1049339,479,0
115,115,0,0,3826,16,327,121,500,1820065,478,1
116,116,0,0,4174,119,328,121,500,-1348609,478,1
117,117,0,0,-3256,335,312,121,500,-937385,478,1
118,118,0,0,13413,170,349,121,500,-2299161,478,1
119,119,0,0,82899,304,502,121,500,1935589,478,1
120,120,0,0,175288,139,705,121,500,2628727,478,1
121,121,0,0,120460,10,584,121,500,-1121057,478,1
122,122,0,0,158786,140,668,121,500,1389359,478,1
123,123,0,0,85266,514,506,121,500,25805828,478,1
124,124,0,0,24779,82,373,121,500,67602017,478,1
125,125,0,0,102024,17,543,121,500,31633645,478,1
126,126,0,0,250874,94,870,121,500,63220854,478,1
127,127,0,0,84281,395,503,121,500,30082267,478,1
128,128,0,0,19241,355,360,121,500,847362,478,1
129,129,0,0,75088,84,483,121,500,28562864,478,1
130,130,0,0,216598,255,794,121,500,104802810,478,1
131,131,0,0,199624,320,756,121,500,21366523,478,1
132,132,0,0,84787,19,503,121,500,3706458,478,1
133,133,0,0,144417,106,634,121,500,19612077,478,1
134,134,0,0,170053,364,690,121,500,82326301,478,1
135,135,0,0,43320,0,411,121,500,72723729,478,1
136,136,0,0,74648,571,480,121,500,17027385,478,1
137,137,0,0,176570,0,704,121,500,53065621,478,1
138,138,0,0,75331,237,481,121,500,68478781,478,1
139,139,0,0,259154,233,885,121,500,4086831,478,1
140,140,0,0,64366,11,456,121,500,24211361,478,1
141,141,0,0,118944,217,576,121,500,72963323,478,1
142,142,0,0,120862,207,580,121,500,2955052,478,1
143,143,0,0,41794,1,406,121,500,116545346,478,1
144,144,0,0,113157,44,563,121,500,976217,478,1
145,145,0,0,117337,145,572,121,500,48387994,478,1
146,146,0,0,17331,13,352,121,500,46411466,478,1
147,147,0,0,29035,62,378,121,500,3385843,478,1
148,148,0,0,78075,70,486,121,500,43842687,478,1
149,149,0,0,30308,118,381,121,500,46259099,478,1
150,150,0,0,30211,302,381,121,500,-1264162,478,1
151,151,0,0,46494,0,417,121,500,9105060,478,0
152,152,0,0,79193,0,489,121,500,32979761,478,0
153,153,0,0,147909,0,640,121,500,6724608,478,0
154,154,0,0,21581,0,362,121,500,11315315,478,0
155,155,0,0,7815,0,332,121,500,14096657,478,0
156,156,0,0,389,0,316,121,500,22627190,478,0
157,157,0,0,2502,0,321,121,500,62666621,478,0
158,158,0,0,70,141,316,121,500,-1261706,478,1
159,159,0,0,-92,170,316,121,500,5220220,478,1
160,160,0,0,15216,58,350,121,500,-189919,478,1
161,161,0,0,72873,281,477,121,500,1478869,478,1
162,162,0,0,91982,106,519,121,500,562953,478,1
163,163,0,0,61083,57,451,121,500,-274326,478,1
164,164,0,0,137951,18,620,121,500,2075769,478,1
165,165,0,0,78033,13,488,121,500,27344042,478,1
166,166,0,0,38003,30,400,121,500,33637131,478,1
167,167,0,0,8805,36,336,121,500,12200870,478,1
168,168,0,0,14123,68,348,121,500,56174665,478,1
169,169,0,0,20363,370,362,121,500,23667758,478,1
170,170,0,0,31167,0,386,121,500,13983492,478,1
171,171,0,0,66110,5,463,121,500,1896024,478,1
172,172,0,0,173020,1,698,121,500,5863564,478,1
173,173,0,0,24000,11,370,121,500,7908006,478,1
174,174,0,0,3417,131,325,121,500,8364079,478,1
175,175,0,0,1444,158,321,121,500,15489717,478,1
176,176,0,0,22217,153,367,121,500,75161301,478,1
177,177,0,0,75796,24,485,121,500,-2030963,478,1
178,178,0,0,93548,21,524,121,500,4179002,478,1
179,179,0,0,80854,262,496,121,500,122931,478,1
180,180,0,0,15807,171,353,121,500,5305921,478,1
181,181,0,0,26602,25,377,121,500,26817632,478,1
182,182,0,0,136611,17,619,121,500,32212841,478,1
183,183,0,0,102172,166,543,121,500,32140333,478,1
184,184,0,0,18517,0,359,121,500,1610840,478,1
185,185,0,0,17033,161,356,121,500,2502489,478,1
186,186,0,0,74696,324,483,121,500,54928145,478,1
187,187,0,0,28746,28,382,121,500,36576945,478,1
188,188,0,0,91895,12,521,121,500,2074172,478,1
189,189,0,0,160643,195,672,121,500,3849102,478,1
190,190,0,0,30707,0,386,121,500,33702453,478,1
191,191,0,0,20605,0,364,121,500,640872,478,1
192,192,0,0,85556,79,507,121,500,30319335,478,1
193,193,0,0,21885,3,367,121,500,67332677,478,1
194,194,0,0,5849,0,332,121,500,1444460,478,0
195,195,0,0,38918,0,405,121,500,4120323,478,0
196,196,0,0,6995,0,335,121,500,38148040,478,0
197,197,0,0,-2248,0,315,121,500,3097468,478,0
198,198,0,0,-591,0,319,121,500,-238898,478,0
199,199,0,0,2890,0,327,121,500,17888958,478,0
200,200,0,0,2284,0,326,121,500,309701,478,0
201,201,0,0,-143,124,321,121,500,-702479,478,1
202,202,0,0,-755,494,320,121,500,-155661,478,1
203,203,0,0,8187,63,340,121,500,1180996,478,1
204,204,0,0,95864,51,533,121,500,913650,478,1
205,205,0,0,238334,7,846,121,500,820549,478,1
206,206,0,0,64892,735,464,121,500,1443527,478,1
207,207,0,0,18468,2,362,121,500,-2982057,478,1
208,208,0,0,65217,49,465,121,500,26074383,478,1
209,209,0,0,337294,287,1063,121,500,100440015,478,1
210,210,0,0,61239,4,455,121,500,14380924,478,1
211,211,0,0,38466,147,405,121,500,4115049,478,1
212,212,0,0,139403,9,627,121,500,4555560,478,1
213,213,0,0,43092,502,415,121,500,151249607,478,1
214,214,0,0,69419,1,473,121,500,-1087901,478,1
215,215,0,0,50304,8,431,121,500,10405445,478,1
216,216,0,0,230437,52,827,121,500,61276215,478,1
217,217,0,0,48786,56,427,121,500,6141937,478,1
218,218,0,0,-1315,1,317,121,500,28918807,478,1
219,219,0,0,29919,26,386,121,500,647505,478,1
220,220,0,0,33012,317,393,121,500,102942727,478,1
221,221,0,0,7902,187,338,121,500,4897979,478,1
222,222,0,0,38247,415,405,121,500,-1803436,478,1
223,223,0,0,162844,602,679,121,500,13191296,478,1
224,224,0,0,139840,53,628,121,500,14048591,478,1
225,225,0,0,243275,56,855,121,500,-28460,478,1
226,226,0,0,309172,0,999,121,500,7776856,478,1
227,227,0,0,70363,48,473,121,500,66124920,478,1
228,228,0,0,31683,579,388,121,500,34644162,478,1
229,229,0,0,10663,171,342,121,500,82923764,478,1
230,230,0,0,66492,11,465,121,500,123390151,478,1
231,231,0,0,281239,602,937,121,500,10520558,478,1
232,232,0,0,127908,20,599,121,500,18047493,478,1
233,233,0,0,59779,59,449,121,500,-25915,478,1
234,234,0,0,272690,119,917,121,500,9708808,478,1
235,235,0,0,71109,6,473,121,500,120456391,478,1
236,236,0,0,32429,115,388,121,500,33959703,478,1
237,237,0,0,59184,0,447,121,500,2585435,478,0
238,238,0,0,24118,0,370,121,500,122030179,478,0
239,239,0,0,58135,0,445,121,500,9308532,478,0
240,240,0,0,16697,0,354,121,500,11433656,478,0
241,241,0,0,2468,0,323,121,500,25161477,478,0
242,242,0,0,493,0,319,121,500,2519990,478,0
243,243,0,0,4884,0,329,121,500,25528941,478,0
244,244,0,0,6100,0,332,121,500,3323350,478,0
245,245,0,0,4134,0,328,121,500,1093048,478,0
246,246,0,0,344,0,320,121,500,60969,478,0
247,247,0,0,3371,0,327,121,500,1850922,478,0
248,248,0,0,3220,0,327,121,500,2189839,478,0
249,249,0,0,-1026,0,318,121,500,1552272,478,0
250,250,0,0,4729,0,331,121,500,-328737,478,0
251,251,0,0,-3153,0,314,121,500,1456262,478,0
252,252,0,0,-1497,0,318,121,500,1293810,478,0
253,253,0,0,-747,0,320,121,500,-1074272,478,0
254,254,0,0,7285,0,338,121,500,2645459,478,0
255,255,0,0,1230,0,325,121,500,-1733701,478,0
256,256,0,0,1077,0,325,121,500,-258340,478,0
257,257,0,0,469,0,324,121,500,-862600,478,0
258,258,0,0,-1960,0,319,121,500,3390421,478,0
259,259,0,0,-1664,0,320,121,500,-165354,478,0
260,260,0,0,3638,0,332,121,500,518582,478,0
261,261,0,0,8952,0,344,121,500,349194,478,0
262,262,0,0,2903,0,331,121,500,-723627,478,0
263,263,0,0,5486,0,337,121,500,-867761,478,0
264,264,0,0,1705,0,329,121,500,1170088,478,0
265,265,0,0,7016,0,341,121,500,3679821,478,0
266,266,0,0,5514,0,338,121,500,326590,478,0
267,267,0,0,3099,0,333,121,500,2477047,478,0
268,268,0,0,-2961,47,321,121,500,-120131,479,1
269,269,0,0,695,123,335,121,500,2839916,479,1
270,270,0,0,10106,11,356,121,500,1811604,479,1
271,271,0,0,29093,35,398,121,500,1491069,479,1
272,272,0,0,57222,313,460,121,500,-1307181,479,1
273,273,0,0,17163,1,372,121,500,429199,479,1
274,274,0,0,38896,180,420,121,500,2535654,479,1
275,275,0,0,151677,31,668,121,500,8805373,479,1
276,276,0,0,35841,5,413,121,500,25014561,479,1
277,277,0,0,79455,64,509,121,500,1168935,479,1
278,278,0,0,29435,0,399,121,500,7088859,479,1
279,279,0,0,6605,84,349,121,500,66407502,479,1
280,280,0,0,30590,16,402,121,500,-1371875,479,1
281,281,0,0,15043,163,368,121,500,36048450,479,1
282,282,0,0,41322,111,426,121,500,7572038,479,1
283,283,0,0,27164,195,395,121,500,423435,479,1
284,284,0,0,78950,0,509,121,500,13691878,479,1
285,285,0,0,76250,563,503,121,500,2176619,479,1
286,286,0,0,94929,148,544,121,500,17613044,479,1
287,287,0,0,52224,30,450,121,500,4380273,479,1
288,288,0,0,266045,30,920,121,500,30535092,479,1
289,289,0,0,114061,132,585,121,500,25138631,479,1
290,290,0,0,18162,253,374,121,500,37269610,479,1
291,291,0,0,27612,12,395,121,500,-2491903,479,1
292,292,0,0,83493,153,518,121,500,115062734,479,1
293,293,0,0,134037,0,629,121,500,31786328,479,1
294,294,0,0,26807,234,393,121,500,4077599,479,1
295,295,0,0,72676,111,494,121,500,7821682,479,1
296,296,0,0,24006,74,387,121,500,27756613,479,1
297,297,0,0,112184,12,581,121,500,55110523,479,1
298,298,0,0,73156,82,495,121,500,-1519889,479,1
299,299,0,0,37682,340,417,121,500,34060959,479,1
300,300,0,0,15325,17,368,121,500,-2740447,479,1
301,301,0,0,54344,37,454,121,500,47156174,479,1
302,302,0,0,165794,26,699,121,500,23146820,479,1
303,303,0,0,32244,85,405,121,500,14597349,479,1
304,304,0,0,13060,0,363,121,500,1735250,479,0
305,305,0,0,16584,0,371,121,500,12340666,479,0
306,306,0,0,44686,0,433,121,500,71883811,479,0
307,307,0,0,4600,0,345,121,500,1690404,479,0
308,308,0,0,-2359,0,330,121,500,5966582,479,0
309,309,0,0,6137,0,349,121,500,3925484,479,0
310,310,0,0,2822,0,342,121,500,19753290,479,0
311,311,0,0,865,400,338,121,500,-1066583,479,1
312,312,0,0,4819,28,347,121,500,-962161,479,1
313,313,0,0,31532,4,406,121,500,3042864,479,1
314,314,0,0,186614,220,747,121,500,1002574,479,1
315,315,0,0,37642,92,419,121,500,1793908,479,1
316,316,0,0,10282,30,359,121,500,160114,479,1
317,317,0,0,107532,126,573,121,500,-88057,479,1
318,318,0,0,59851,133,468,121,500,83955723,479,1
319,319,0,0,31175,21,405,121,500,2304972,479,1
320,320,0,0,66136,430,482,121,500,-2254700,479,1
321,321,0,0,69324,226,489,121,500,46884813,479,1
322,322,0,0,55684,2,459,121,500,17588523,479,1
323,323,0,0,210819,7,800,121,500,7435096,479,1
324,324,0,0,135610,284,634,121,500,26675581,479,1
325,325,0,0,12915,106,364,121,500,24845969,479,1
326,326,0,0,19625,245,379,121,500,5427929,479,1
327,327,0,0,137825,1,639,121,500,86216894,479,1
328,328,0,0,89755,107,533,121,500,47787403,479,1
329,329,0,0,112104,54,582,121,500,-1344738,479,1
330,330,0,0,27122,82,395,121,500,1543455,479,1
331,331,0,0,55703,60,458,121,500,57118920,479,1
332,332,0,0,36117,65,415,121,500,22843109,479,1
333,333,0,0,45608,1,436,121,500,46806873,479,1
334,334,0,0,41470,47,427,121,500,1334792,479,1
335,335,0,0,30953,98,404,121,500,24210579,479,1
336,336,0,0,7673,172,353,121,500,9659304,479,1
337,337,0,0,35757,180,415,121,500,16593899,479,1
338,338,0,0,60263,29,469,121,500,14477466,479,1
339,339,0,0,98928,106,554,121,500,12150749,479,1
340,340,0,0,99913,150,556,121,500,93331,479,1
341,341,0,0,25370,97,392,121,500,13239212,479,1
342,342,0,0,60318,49,469,121,500,18104427,479,1
343,343,0,0,83058,322,519,121,500,35241718,479,1
344,344,0,0,55798,84,459,121,500,39063353,479,1
345,345,0,0,51683,0,450,121,500,1501064,479,1
346,346,0,0,156304,79,680,121,500,22662159,479,1
347,347,0,0,66870,0,483,121,500,31920652,479,0
348,348,0,0,14549,0,368,121,500,17278321,479,0
349,349,0,0,28543,0,399,121,500,9406922,479,0
350,350,0,0,6623,0,351,121,500,65929412,479,0
351,351,0,0,-1695,0,333,121,500,18359804,479,0
352,352,0,0,-21,0,337,121,500,2468551,479,0
353,353,0,0,1202,0,340,121,500,13292751,479,0
354,354,0,0,-2577,114,332,121,500,1165156,479,1
355,355,0,0,3191,42,345,121,500,-740630,479,1
356,356,0,0,8062,145,356,121,500,225097,479,1
357,357,0,0,65724,755,483,121,500,816772,479,1
358,358,0,0,37973,0,422,121,500,-920202,479,1
359,359,0,0,122546,45,608,121,500,1504634,479,1
360,360,0,0,355180,273,1119,121,500,-479045,479,1
361,361,0,0,50970,235,449,121,500,31085170,479,1
362,362,0,0,30465,103,404,121,500,3360930,479,1
363,363,0,0,140500,47,646,121,500,28578208,479,1
364,364,0,0,134297,233,632,121,500,156068113,479,1
365,365,0,0,68930,271,488,121,500,-4630907,479,1
366,366,0,0,42094,12,429,121,500,7815930,479,1
367,367,0,0,128039,92,618,121,500,54960797,479,1
368,368,0,0,149108,142,664,121,500,48109393,479,1
369,369,0,0,23258,709,387,121,500,22520432,479,1
370,370,0,0,41366,76,427,121,500,7230906,479,1
371,371,0,0,123214,59,607,121,500,47289920,479,1
372,372,0,0,333552,891,1069,121,500,60028758,479,1
373,373,0,0,88442,147,529,121,500,1213507,479,1
374,374,0,0,86217,55,524,121,500,12187294,479,1
375,375,0,0,422962,55,1264,121,500,29892456,479,1
376,376,0,0,132547,92,624,121,500,145701364,479,1
377,377,0,0,29862,816,398,121,500,10584285,479,1
378,378,0,0,36151,184,412,121,500,7817164,479,1
379,379,0,0,106154,27,566,121,500,184993789,479,1
380,380,0,0,391071,79,1192,121,500,27137979,479,1
381,381,0,0,149269,215,659,121,500,13538453,479,1
382,382,0,0,30239,329,397,121,500,10722547,479,1
383,383,0,0,58367,789,459,121,500,17302617,479,1
384,384,0,0,127052,84,610,121,500,165861302,479,1
385,385,0,0,223643,16,822,121,500,38444581,479,1
386,386,0,0,385966,131,1178,121,500,8116222,479,1
387,387,0,0,95010,1,537,121,500,22321143,479,1
388,388,0,0,21358,35,375,121,500,39180886,479,1
389,389,0,0,60384,316,461,121,500,66145017,479,1
390,390,0,0,20781,0,374,121,500,159734832,479,0
391,391,0,0,42971,0,423,121,500,15505981,479,0
392,392,0,0,143925,0,645,121,500,6489424,479,0
393,393,0,0,28976,0,392,121,500,28768009,479,0
394,394,0,0,-4326,0,319,121,500,2043455,479,0
395,395,0,0,-2666,0,323,121,500,8556585,479,0
396,396,0,0,-2367,0,324,121,500,62687143,479,0
397,397,0,0,-10257,0,307,121,500,2663491,479,0
398,398,0,0,-1784,0,326,121,500,-1124141,479,0
399,399,0,0,3978,0,339,121,500,-56047,479,0
400,400,0,0,1108,0,333,121,500,-142097,479,0
401,401,0,0,-403,0,330,121,500,-4567558,479,0
402,402,0,0,-2372,0,326,121,500,-336247,479,0
403,403,0,0,-705,0,330,121,500,1691833,479,0
404,404,0,0,-1764,0,328,121,500,166839,479,0
405,405,0,0,-8285,0,314,121,500,-25068,479,0
406,406,0,0,-715,0,331,121,500,-1091341,479,0
407,407,0,0,5507,0,345,121,500,-7241,479,0
408,408,0,0,-7822,0,316,121,500,-120477,479,0
409,409,0,0,-9805,0,312,121,500,-3813336,479,0
410,410,0,0,-6332,0,320,121,500,-200075,479,0
411,411,0,0,-6036,0,321,121,500,3035871,479,0
412,412,0,0,4726,0,345,121,500,-3483440,479,0
413,413,0,0,-7693,0,318,121,500,-3300729,479,0
414,414,0,0,336,0,336,121,500,-1938130,479,0
415,415,0,0,-9362,0,315,121,500,-2912021,479,0
416,416,0,0,-2701,0,330,121,500,3127711,479,0
417,417,0,0,-3305,0,329,121,500,-4245300,479,0
418,418,0,0,-4820,0,326,121,500,1636108,479,0
419,419,0,0,-9978,0,315,121,500,-4478244,479,0
420,420,0,0,-1042,0,335,121,500,-306099,479,0
421,421,0,0,-731,146,335,121,500,-1179250,478,1
422,422,0,0,6391,289,343,121,500,-1281621,478,1
423,423,0,0,15811,25,364,121,500,-4244839,478,1
424,424,0,0,90772,35,529,121,500,469199,478,1
425,425,0,0,150428,176,660,121,500,-83545,478,1
426,426,0,0,43685,43,425,121,500,3323445,478,1
427,427,0,0,29072,1,393,121,500,193837,478,1
428,428,0,0,87227,126,521,121,500,30220083,478,1
429,429,0,0,35400,24,407,121,500,61281288,478,1
430,430,0,0,17584,67,368,121,500,7914950,478,1
431,431,0,0,58424,269,458,121,500,6767969,478,1
432,432,0,0,31104,4,398,121,500,37637801,478,1
433,433,0,0,51499,11,443,121,500,8868638,478,1
434,434,0,0,132909,64,622,121,500,3196131,478,1
435,435,0,0,17483,66,368,121,500,25866826,478,1
436,436,0,0,9183,73,350,121,500,6229673,478,1
437,437,0,0,38175,114,414,121,500,12671353,478,1
438,438,0,0,46301,146,432,121,500,58285937,478,1
439,439,0,0,51260,131,443,121,500,-2221202,478,1
440,440,0,0,71245,200,487,121,500,3402886,478,1
441,441,0,0,93094,0,535,121,500,14761992,478,1
442,442,0,0,86326,1,520,121,500,15756233,478,1
443,443,0,0,103203,108,557,121,500,16428284,478,1
444,444,0,0,20472,79,375,121,500,24104297,478,1
445,445,0,0,16274,216,366,121,500,32563432,478,1
446,446,0,0,52562,438,446,121,500,26560778,478,1
447,447,0,0,64815,163,473,121,500,42543680,478,1
448,448,0,0,136245,71,630,121,500,2176272,478,1
449,449,0,0,234222,355,845,121,500,5537005,478,1
450,450,0,0,114924,111,582,121,500,21207515,478,1
451,451,0,0,70893,0,485,121,500,16962165,478,1
452,452,0,0,180555,292,726,121,500,42420358,478,1
453,453,0,0,83888,12,513,121,500,93521457,478,1
454,454,0,0,22498,298,378,121,500,32702852,478,1
455,455,0,0,142063,215,641,121,500,15068059,478,1
456,456,0,0,53501,75,446,121,500,76923002,478,1
457,457,0,0,149929,0,658,121,500,24623389,478,0
458,458,0,0,129634,0,613,121,500,-2121238,478,0
459,459,0,0,50144,0,438,121,500,64402219,478,0
460,460,0,0,9154,0,348,121,500,2316559,478,0
461,461,0,0,-1896,0,324,121,500,59583163,478,0
462,462,0,0,9325,0,349,121,500,45802809,478,0
463,463,0,0,6011,0,342,121,500,15438183,478,0
464,464,0,0,8605,152,348,121,500,3218088,478,1
465,465,0,0,8020,0,347,121,500,-1183261,478,1
466,466,0,0,7889,0,347,121,500,4398979,478,1
467,467,0,0,70548,228,485,121,500,1402751,478,1
468,468,0,0,16865,154,367,121,500,3848199,478,1
469,469,0,0,14479,120,362,121,500,2745122,478,1
470,470,0,0,121288,38,597,121,500,-2180921,478,1
471,471,0,0,91377,28,531,121,500,32826303,478,1
472,472,0,0,71410,218,487,121,500,1878258,478,1
473,473,0,0,33199,403,403,121,500,-1832392,478,1
474,474,0,0,29939,127,396,121,500,49746420,478,1
475,475,0,0,134962,0,627,121,500,27872947,478,1
476,476,0,0,213371,15,799,121,500,27506441,478,1
477,477,0,0,84472,3,515,121,500,11465266,478,1
478,478,0,0,5794,11,342,121,500,3161124,478,1
479,479,0,0,4293,272,339,121,500,45362442,478,1
480,480,0,0,9159,627,350,121,500,83589361,478,1
481,481,0,0,33146,2,403,121,500,24427812,478,1
482,482,0,0,175486,7,716,121,500,381610,478,1
483,483,0,0,309494,147,1010,121,500,4510753,478,1
484,484,0,0,49311,18,437,121,500,4581836,478,1
485,485,0,0,14235,52,360,121,500,1651985,478,1
486,486,0,0,73267,110,490,121,500,56232789,478,1
487,487,0,0,35059,110,406,121,500,129207819,478,1
488,488,0,0,38172,268,413,121,500,19133,478,1
489,489,0,0,65862,85,474,121,500,4218633,478,1
490,490,0,0,89518,236,526,121,500,32527460,478,1
491,491,0,0,135521,256,627,121,500,8524001,478,1
492,492,0,0,81525,26,508,121,500,12915707,478,1
493,493,0,0,133425,86,622,121,500,22485481,478,1
494,494,0,0,139029,305,634,121,500,28273447,478,1
495,495,0,0,33170,0,401,121,500,53003047,478,1
496,496,0,0,64943,132,471,121,500,18838083,478,1
497,497,0,0,146381,53,650,121,500,49015422,478,1
498,498,0,0,37808,524,411,121,500,55143651,478,1
499,499,0,0,60491,0,461,121,500,2082444,478,1
500,500,0,0,77309,0,498,121,500,20168840,478,0
501,501,0,0,237944,0,851,121,500,62348664,478,0
502,502,0,0,46307,0,429,121,500,4426566,478,0
503,503,0,0,758,0,329,121,500,23143668,478,0
504,504,0,0,6979,0,343,121,500,13521828,478,0
505,505,0,0,9119,0,348,121,500,103939712,478,0
506,506,0,0,8079,0,346,121,500,3295749,478,0
